"%s and greater","%s and greater"
"Advanced Search","Розширений пошук"
"All","Всі"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if Search Results are Less Than","Показувати багаторівневу навігацію, якщо знайдено результатів менше ніж"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated Site Map","Автоматично створена мапа сайту"
"Catalog Advanced Search","Розширений пошук по каталогу"
"Catalog Search","Пошук по калалогу"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","перейти на головну сторінку"
"Grid","Таблиця"
"Home","Головна"
"List","Список"
"Maximum Query Length","Максимальна довжина запиту"
"Maximum Query Words Count","Максимальна кількість слів у запиті"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Мінімальна довжина запиту"
"Modify your search","Шукати заново"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Популярні пошукові запити"
"Popular search terms","Популярні пошуки"
"Relevance","Relevance"
"Required Fields","Обов'язкові поля"
"Results","Результати"
"Search","Пошук"
"Search Settings","Налаштування пошуку"
"Search Site","Пошук по сайту"
"Search Terms","Пошуковий запит"
"Search Type","Тип пошуку"
"Search entire store here...","Пошук по крамниці..."
"Search results for '%s'","Результати пошуку для '%s'"
"Search results for: '%s'","Результати пошуку для: '%s'"
"Search:","Пошук:"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Пошукові умови відсутні."
"Yes","Yes"
"You have to specify at least one search term","Ви повинні вказати хоча б одну пошукову умову"
"Your search returns no results.","Нажаль, нічого не знайдено."
"up to %s","до %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"There are no search terms available.","There are no search terms available."
"Catalog Search Index","Індекси пошуку в каталозі"
"Enter ""0"" to enable layered navigation for any number of results.","Введіть ""0"" для того, щоб включити багаторівневу навігацію для будь-якої кількості результатів."
"Applies for ""Like"" search type only.","Застосовується тільки для ""Like"" типу пошуку."